T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 607950 9.000000e-01 2.313336e+03 5.220630e-01 5.058000e-05 6.021179e-08 5.504172e-08 1.501107e-12 7.874186e+12 7.642089e+12 1.942479e+08 2.399615e+12 2.328882e+12 5.919592e+07 
300 607950 9.500000e-01 2.362507e+03 5.746514e-01 4.651000e-05 8.659869e-08 8.339786e-08 2.079468e-12 1.081539e+13 1.016753e+13 2.605311e+08 3.295989e+12 3.098551e+12 7.939678e+07 
300 607950 1.000000e+00 2.402309e+03 6.286269e-01 4.651000e-05 1.240604e-07 1.169614e-07 2.916624e-12 1.480218e+13 1.354692e+13 3.485492e+08 4.511048e+12 4.128493e+12 1.062222e+08 
300 607950 1.050000e+00 2.426512e+03 6.791403e-01 4.593000e-05 1.725731e-07 1.592093e-07 3.983253e-12 1.970274e+13 1.929386e+13 4.492505e+08 6.004621e+12 5.880007e+12 1.369138e+08 
300 607950 1.100000e+00 2.433267e+03 7.267983e-01 4.593000e-05 2.336038e-07 2.169194e-07 5.330820e-12 2.559542e+13 2.502352e+13 5.761658e+08 7.800599e+12 7.626295e+12 1.755952e+08 
300 607950 1.150000e+00 2.420465e+03 7.767156e-01 4.477000e-05 3.248097e-07 3.006253e-07 7.337409e-12 3.393453e+13 3.092987e+13 7.699173e+08 1.034225e+13 9.426500e+12 2.346479e+08 
300 607950 1.200000e+00 2.408303e+03 8.096004e-01 4.419000e-05 3.928139e-07 3.677002e-07 8.837734e-12 3.998956e+13 3.682333e+13 9.036217e+08 1.218776e+13 1.122276e+13 2.753996e+08 
300 607950 1.250000e+00 2.384930e+03 8.432633e-01 4.360000e-05 4.967908e-07 4.719120e-07 1.116982e-11 4.884277e+13 4.529622e+13 1.102749e+09 1.488616e+13 1.380523e+13 3.360925e+08 
300 607950 1.300000e+00 2.359950e+03 8.728968e-01 4.767000e-05 6.142458e-07 5.399729e-07 1.409006e-11 5.851050e+13 5.546279e+13 1.327450e+09 1.783287e+13 1.690396e+13 4.045807e+08 
300 607950 1.350000e+00 2.333619e+03 8.967554e-01 4.651000e-05 7.488862e-07 6.689287e-07 1.728379e-11 6.914943e+13 6.661967e+13 1.578656e+09 2.107563e+13 2.030458e+13 4.811482e+08 
300 607950 1.400000e+00 2.305549e+03 9.141719e-01 4.593000e-05 8.990889e-07 8.285194e-07 2.102407e-11 8.058333e+13 7.314773e+13 1.893246e+09 2.456074e+13 2.229444e+13 5.770361e+08 
300 607950 1.450000e+00 2.279853e+03 9.251548e-01 5.000000e-05 1.054897e-06 9.041673e-07 2.546073e-11 9.198970e+13 8.537900e+13 2.197219e+09 2.803751e+13 2.602261e+13 6.696891e+08 
300 607950 1.500000e+00 2.253953e+03 9.288008e-01 4.942000e-05 1.215805e-06 1.091453e-06 3.002237e-11 1.033177e+14 9.004907e+13 2.558156e+09 3.149045e+13 2.744623e+13 7.797058e+08 
300 607950 1.550000e+00 2.230774e+03 9.284930e-01 5.290000e-05 1.366733e-06 1.133729e-06 3.497015e-11 1.135096e+14 1.034144e+14 2.879590e+09 3.459713e+13 3.152012e+13 8.776831e+08 
300 607950 1.600000e+00 2.205859e+03 9.190519e-01 5.232000e-05 1.516795e-06 1.337138e-06 4.008823e-11 1.231341e+14 1.054243e+14 3.262040e+09 3.753092e+13 3.213298e+13 9.942596e+08 
