# p = 1 atm, T = 300 K, U₀ = 30 m/s, non-reacting, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
15.00   -41.00  0.00    928 0   102 ?   ?   ?   ?   ?    ?
15.00   -43.00  0.00    877 0   82  2.28    -4.92   ?   3.69    3.27    ?
15.00   -45.00  0.00    985 0   80  0.68    -5.20   ?   2.46    3.48    ?
15.00   -47.00  0.00    1866    0   48  -0.08   -6.01   ?   1.96    3.92    ?
15.00   -49.00  0.00    730 0   81  -1.92   -8.77   ?   5.47    6.39    ?
15.00   -51.00  0.00    4959    0   41  -0.08   -2.67   ?   1.81    4.01    ?


# 15 mm Z traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
15.00   0.00    -51.00  0   185 0   ?   -1.60   ?   ?   2.09    ?
15.00   0.00    -49.00  0   172 0   ?   -2.44   ?   ?   2.56    ?
15.00   0.00    -47.00  0   142 0   ?   -2.69   ?   ?   2.91    ?
15.00   0.00    -45.00  0   155 0   ?   -3.28   ?   ?   2.95    ?
15.00   0.00    -43.00  0   142 0   ?   -3.91   ?   ?   3.35    ?
15.00   0.00    -41.00  0   121 0   ?   -4.49   ?   ?   2.47    ?
15.00   0.00    -39.00  0   113 0   ?   -4.05   ?   ?   2.70    ?
15.00   0.00    -37.00  0   125 0   ?   -4.14   ?   ?   2.68    ?
15.00   0.00    -35.00  0   123 0   ?   -4.53   ?   ?   2.73    ?
15.00   0.00    -33.00  0   169 0   ?   -4.80   ?   ?   2.39    ?
15.00   0.00    -31.00  710 142 0   1.99    -5.94   ?   2.63    2.23    ?
15.00   0.00    -30.00  599 134 0   1.68    -5.14   ?   2.70    2.83    ?
15.00   0.00    -29.00  1072    163 0   1.69    -5.93   ?   2.96    2.37    ?
15.00   0.00    -28.00  1180    177 0   1.59    -6.13   ?   2.94    2.60    ?
15.00   0.00    -27.00  1108    156 0   1.82    -6.35   ?   3.12    2.36    ?
15.00   0.00    -26.00  1868    184 0   2.55    -6.49   ?   3.23    2.90    ?
15.00   0.00    -25.00  2725    250 0   3.94    -7.06   ?   4.21    3.29    ?
15.00   0.00    -24.00  2678    295 0   6.09    -7.87   ?   4.93    3.69    ?
15.00   0.00    -23.00  4662    336 2   9.62    -8.29   ?   5.91    3.64    ?
15.00   0.00    -22.00  4684    256 60  13.74   -8.83   8.54    6.34    4.05    6.53
15.00   0.00    -21.00  4506    445 49  18.06   -9.48   11.04   6.00    3.90    5.75
15.00   0.00    -20.00  4483    415 102 21.10   -10.50  9.81    5.53    3.70    3.93
15.00   0.00    -19.00  4393    479 128 22.79   -11.43  10.30   5.72    3.56    4.18
15.00   0.00    -18.00  3805    984 211 21.43   -11.73  8.72    6.81    3.53    3.70
15.00   0.00    -17.00  2881    800 164 18.02   -11.30  7.28    8.05    4.02    3.10
15.00   0.00    -16.00  2796    524 76  13.97   -9.48   6.56    7.82    4.88    2.86
15.00   0.00    -15.00  4494    416 90  10.35   -6.92   5.07    7.03    4.85    2.14
15.00   0.00    -14.00  4485    406 109 7.39    -4.05   4.51    6.34    4.57    2.59
15.00   0.00    -13.00  4455    419 126 4.64    -2.69   3.21    5.49    4.09    2.10
15.00   0.00    -12.00  3949    403 218 2.82    -1.53   2.04    4.86    3.32    2.27
15.00   0.00    -11.00  3863    355 221 1.25    -0.79   1.19    4.08    3.13    1.99
15.00   0.00    -10.00  2910    334 183 0.16    -0.35   0.89    3.40    2.34    1.79
15.00   0.00    -9.00   263 257 142 -0.01   0.18    0.89    2.93    2.00    1.53
15.00   0.00    -8.00   1823    200 101 -0.89   0.29    0.70    2.75    1.75    1.62
15.00   0.00    -7.00   1875    235 132 -0.92   0.36    0.38    2.63    1.59    1.67
15.00   0.00    -6.00   2558    190 221 -1.15   0.72    0.50    2.55    1.65    1.64
15.00   0.00    -5.00   2049    167 177 -0.84   0.93    0.22    2.46    1.42    1.56
15.00   0.00    -4.00   2354    226 168 -0.30   0.84    0.32    2.55    1.57    1.73
15.00   0.00    -3.00   2162    96  238 0.18    0.71    0.21    2.70    1.45    1.77
15.00   0.00    -2.00   2324    130 292 0.82    0.94    0.12    2.73    1.73    1.71
15.00   0.00    -1.00   2750    114 280 1.37    1.26    0.05    2.86    2.40    1.78
15.00   0.00    0.00    3013    165 318 2.19    0.61    -0.22   2.90    1.94    1.82
15.00   0.00    1.00    103 145 264 3.27    -0.59   0.92    2.33    1.91    3.96
15.00   0.00    2.00    2510    165 329 3.46    -0.78   0.72    3.02    1.83    1.82
15.00   0.00    3.00    3153    203 452 4.27    -0.53   0.90    2.99    2.03    1.77
15.00   0.00    4.00    3294    141 254 5.31    -3.07   1.22    2.98    6.22    1.84
15.00   0.00    5.00    2610    192 512 6.09    -1.37   1.47    3.05    4.41    1.72
15.00   0.00    6.00    4440    170 390 6.70    -0.45   1.93    2.94    2.08    1.83
15.00   0.00    7.00    4301    297 402 7.49    -0.63   2.20    2.93    1.96    1.80
15.00   0.00    8.00    4283    317 400 8.09    -0.43   2.30    2.89    1.91    1.75
15.00   0.00    9.00    4190    392 418 8.57    -0.32   2.63    2.86    1.87    1.76
15.00   0.00    10.00   4390    320 290 8.93    -0.59   2.60    2.89    1.87    2.00
15.00   0.00    11.00   4407    344 249 9.43    -0.62   3.09    2.87    1.91    2.03
15.00   0.00    12.00   4449    359 192 9.42    -0.94   3.48    3.08    2.00    2.16
15.00   0.00    13.00   3962    674 364 10.03   -1.45   3.42    3.47    2.38    2.01
15.00   0.00    14.00   4336    437 227 10.85   -2.22   4.07    4.00    2.70    1.98
15.00   0.00    15.00   4007    624 369 12.45   -3.05   4.28    4.76    3.05    2.36
15.00   0.00    16.00   4338    469 193 14.89   -4.45   4.83    5.65    3.72    2.56
15.00   0.00    17.00   4334    446 220 17.65   -6.60   5.62    6.10    4.36    2.52
15.00   0.00    18.00   4460    423 117 20.91   -9.59   6.20    6.24    4.75    2.84
15.00   0.00    19.00   4403    482 115 23.96   -12.27  6.88    5.79    4.51    3.63
15.00   0.00    20.00   4117    707 176 25.23   -14.46  7.39    4.88    3.21    4.19
15.00   0.00    21.00   3547    1250    203 23.93   -14.91  7.88    5.07    3.09    4.33
15.00   0.00    22.00   3345    1447    208 21.00   -14.67  8.35    5.51    3.19    5.41
15.00   0.00    23.00   2532    2248    220 16.58   -13.51  8.09    5.68    3.75    5.93
15.00   0.00    24.00   3011    1866    123 12.28   -12.21  6.51    5.23    4.38    6.31
15.00   0.00    25.00   3077    1824    99  9.09    -10.27  3.64    4.28    4.69    5.92
15.00   0.00    26.00   3709    1213    78  6.85    -8.64   2.89    3.15    4.32    5.95
15.00   0.00    27.00   3717    1283    0   5.80    -7.90   ?   2.66    3.93    ?
15.00   0.00    28.00   3364    1624    0   5.41    -7.72   ?   2.38    3.37    ?
15.00   0.00    29.00   2555    1364    0   5.14    -7.21   ?   2.35    2.93    ?
15.00   0.00    30.00   3106    1502    0   5.11    -6.81   ?   2.26    2.68    ?
15.00   0.00    31.00   2140    1080    0   5.04    -6.82   ?   2.25    2.50    ?
15.00   0.00    33.00   1402    991 0   4.83    -6.84   ?   2.26    2.50    ?
15.00   0.00    35.00   528 1042    0   4.42    -6.07   ?   2.57    2.67    ?
15.00   0.00    37.00   0   614 0   ?   -5.99   ?   ?   2.63    ?
15.00   0.00    39.00   0   968 0   ?   -6.38   ?   ?   2.78    ?
15.00   0.00    41.00   0   742 0   ?   -6.04   ?   ?   2.71    ?
15.00   0.00    43.00   0   501 0   ?   -6.11   ?   ?   2.79    ?
15.00   0.00    45.00   0   627 0   ?   -5.97   ?   ?   3.19    ?
15.00   0.00    47.00   0   603 0   ?   -5.48   ?   ?   3.05    ?
15.00   0.00    49.00   0   489 0   ?   -4.46   ?   ?   3.41    ?
15.00   0.00    51.00   0   5000    0   ?   0.03    ?   ?   0.30    ?


# 35 mm Y traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
35.00   51.00   0.00    135 0   9   -4.86   ?   ?   6.18    ?   ?
35.00   49.00   0.00    170 0   11  -1.55   -2.67   ?   3.95    1.64    ?
35.00   47.00   0.00    296 0   12  0.43    -3.79   ?   3.26    2.55    ?
35.00   45.00   0.00    342 0   17  1.59    -1.35   ?   3.04    3.41    ?
35.00   43.00   0.00    219 0   11  3.11    -3.38   ?   2.93    1.89    ?
35.00   41.00   0.00    271 0   7   3.94    ?   ?   2.71    ?   ?
35.00   39.00   0.00    312 0   11  5.00    -3.37   ?   2.74    3.89    ?
35.00   37.00   0.00    282 0   11  6.39    -3.88   ?   3.20    2.23    ?
35.00   35.00   0.00    373 0   25  7.64    -5.50   ?   3.63    4.30    ?
35.00   33.00   0.00    491 0   37  9.92    -5.90   ?   4.45    4.29    ?
